model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
knn,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.844,0.001,0.24,0.173,0.216,0.178,0.182,0.000105,original,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.947,1.832,0.437,0.279,0.318,0.283,0.218,1.7e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
rf,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20.974,0.339,0.22,0.191,0.264,0.205,0.137,1.9e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.17,0.002,0.273,0.272,0.401,0.32,0.188,5e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.186,0.007,0.248,0.226,0.319,0.25,0.17,1e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.477,0.12,0.316,0.311,0.456,0.375,0.243,6.7e-05,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
naive_bayes,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.928,0.001,0.274,0.298,0.464,0.38,0.257,2e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
knn,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.786,0.001,0.262,0.28,0.43,0.345,0.202,5e-06,latent,10,5,580.9238874912262,65.845144033432,7.587627772867245e-07,0.016193628311157227,13.238509178161621
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.387,0.268,0.835,0.792,0.883,0.876,0.873,2.5e-05,original,10,6,,,,,
rf,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,20.828,0.47,0.768,0.677,0.795,0.767,0.844,3.9e-05,original,10,6,,,,,
svc,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,9.401,0.002,0.76,0.667,0.787,0.758,0.824,2e-06,original,10,6,,,,,
logreg,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,3.768,0.006,0.779,0.691,0.807,0.782,0.845,1e-06,original,10,6,,,,,
mlp,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.602,0.038,0.75,0.645,0.764,0.729,0.813,4.4e-05,original,10,6,,,,,
naive_bayes,random,0.7,0.653,0.653,0.7,0.292,0.333,0.333,0.292,6.755,0.001,0.773,0.625,0.731,0.688,0.77,1e-06,original,10,6,,,,,
knn,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,8.91,0.001,0.689,0.647,0.793,0.774,0.769,0.000124,original,10,6,,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,8.429,0.156,0.813,0.8,0.893,0.891,0.872,1.7e-05,original,10,6,1399.1924214363098,60.145246744155884,8.899499309313258e-07,0.002080202102661133,0.2597353458404541
