model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
logreg,ag,0.938,0.938,0.938,0.938,0.032,0.032,0.032,0.032,5.276,0.108,0.705,0.699,0.778,0.775,0.816,0.0,latent,0.01,6,0,0,0,0.0013272762298583984
mlp,ag,0.805,0.804,0.804,0.805,0.076,0.076,0.076,0.076,6.105,14.314,0.788,0.755,0.811,0.802,0.882,1.7e-05,latent,0.01,6,0,0,0,0.0013272762298583984
naive_bayes,ag,0.938,0.938,0.938,0.938,0.032,0.032,0.032,0.032,2.463,0.001,0.698,0.701,0.784,0.786,0.83,1e-06,latent,0.01,6,0,0,0,0.0013272762298583984
knn,ag,0.814,0.813,0.813,0.814,0.08,0.081,0.081,0.08,4.41,0.001,0.796,0.738,0.789,0.774,0.871,5.9e-05,latent,0.01,6,0,0,0,0.0013272762298583984
xgb,lc,0.986,0.986,0.986,0.986,0.012,0.012,0.012,0.012,4.283,0.602,0.227,0.237,0.312,0.264,0.134,4e-06,original,0.01,6,0,0,0,0.0014905929565429688
rf,lc,0.981,0.981,0.981,0.981,0.028,0.028,0.028,0.028,7.205,0.602,0.237,0.246,0.322,0.274,0.136,2e-05,original,0.01,6,0,0,0,0.0014905929565429688
svc,lc,0.995,0.995,0.995,0.995,0.01,0.01,0.01,0.01,5.547,0.008,0.199,0.192,0.238,0.201,0.115,5e-06,original,0.01,6,0,0,0,0.0014905929565429688
logreg,lc,0.995,0.995,0.995,0.995,0.01,0.01,0.01,0.01,3.419,0.01,0.199,0.2,0.255,0.214,0.116,8e-06,original,0.01,6,0,0,0,0.0014905929565429688
mlp,lc,0.995,0.995,0.995,0.995,0.01,0.01,0.01,0.01,5.492,10.652,0.206,0.2,0.248,0.211,0.123,2.6e-05,original,0.01,6,0,0,0,0.0014905929565429688
naive_bayes,lc,0.886,0.885,0.885,0.886,0.046,0.046,0.046,0.046,3.874,0.001,0.276,0.259,0.312,0.273,0.239,1e-06,original,0.01,6,0,0,0,0.0014905929565429688
knn,lc,0.981,0.981,0.981,0.981,0.028,0.028,0.028,0.028,9.062,0.001,0.219,0.229,0.302,0.254,0.177,1.4e-05,original,0.01,6,0,0,0,0.0014905929565429688
xgb,lc,0.986,0.986,0.986,0.986,0.012,0.012,0.012,0.012,2.765,9.316,0.222,0.223,0.285,0.242,0.151,6e-06,latent,0.01,6,0,0,0,0.0014905929565429688
rf,lc,0.99,0.99,0.99,0.99,0.012,0.012,0.012,0.012,14.078,1.075,0.223,0.231,0.301,0.255,0.137,1.5e-05,latent,0.01,6,0,0,0,0.0014905929565429688
