model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
knn,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.808,0.001,0.775,0.704,0.755,0.737,0.843,2e-06,original,10,8,,,,,109.4453501701355
xgb,k_center,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,7.205,0.048,0.741,0.705,0.769,0.756,0.806,3e-06,original,10,8,,,,,0.48555612564086914
rf,k_center,0.65,0.573,0.573,0.65,0.122,0.196,0.196,0.122,13.881,0.344,0.726,0.681,0.744,0.727,0.808,1.1e-05,original,10,8,,,,,0.48555612564086914
svc,k_center,0.5,0.367,0.367,0.5,0.0,0.067,0.067,0.0,6.247,0.001,0.51,0.453,0.669,0.766,0.5,3e-06,original,10,8,,,,,0.48555612564086914
logreg,k_center,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,6.22,0.007,0.732,0.689,0.752,0.736,0.804,8e-06,original,10,8,,,,,0.48555612564086914
mlp,k_center,0.35,0.253,0.253,0.35,0.122,0.065,0.065,0.122,6.041,0.868,0.727,0.655,0.71,0.687,0.801,9e-06,original,10,8,,,,,0.48555612564086914
naive_bayes,k_center,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,6.701,0.001,0.636,0.541,0.584,0.556,0.636,1e-06,original,10,8,,,,,0.48555612564086914
knn,k_center,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,5.566,0.001,0.572,0.381,0.361,0.384,0.641,2e-05,original,10,8,,,,,0.48555612564086914
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.561,0.027,0.237,0.182,0.191,0.183,0.157,5e-06,original,10,8,,,,,4.075963258743286
rf,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,12.481,0.383,0.223,0.235,0.313,0.264,0.156,8e-06,original,10,8,,,,,4.075963258743286
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.728,0.002,0.319,0.178,0.139,0.185,0.148,2e-06,original,10,8,,,,,4.075963258743286
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.759,0.006,0.34,0.175,0.124,0.186,0.151,8e-06,original,10,8,,,,,4.075963258743286
mlp,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.266,0.777,0.22,0.218,0.274,0.233,0.147,1.1e-05,original,10,8,,,,,4.075963258743286
naive_bayes,lc,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,6.47,0.001,0.297,0.315,0.462,0.431,0.297,1e-06,original,10,8,,,,,4.075963258743286
knn,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.171,0.001,0.349,0.211,0.181,0.216,0.238,2.7e-05,original,10,8,,,,,4.075963258743286
xgb,random,0.75,0.74,0.74,0.75,0.316,0.332,0.332,0.316,6.926,0.04,0.714,0.627,0.676,0.651,0.795,3e-06,original,10,9,,,,,
rf,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,14.87,0.099,0.743,0.68,0.736,0.716,0.824,4e-06,original,10,9,,,,,
svc,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.764,0.002,0.752,0.699,0.757,0.74,0.824,3e-06,original,10,9,,,,,
logreg,random,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.807,0.007,0.76,0.715,0.773,0.759,0.832,9e-06,original,10,9,,,,,
mlp,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.032,0.729,0.738,0.698,0.761,0.746,0.806,1.2e-05,original,10,9,,,,,
