model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
svc,random,0.815,0.815,0.815,0.815,0.022,0.022,0.022,0.022,5.465,0.251,0.808,0.75,0.8,0.786,0.887,6.9e-05,original,0.05,7,,,,
logreg,random,0.817,0.817,0.817,0.817,0.028,0.028,0.028,0.028,3.254,0.014,0.812,0.762,0.811,0.8,0.895,1.1e-05,original,0.05,7,,,,
mlp,random,0.825,0.825,0.825,0.825,0.028,0.028,0.028,0.028,7.731,44.753,0.812,0.76,0.81,0.798,0.896,5.4e-05,original,0.05,7,,,,
naive_bayes,random,0.682,0.66,0.66,0.682,0.032,0.04,0.04,0.032,6.148,0.003,0.697,0.567,0.596,0.574,0.726,1e-06,original,0.05,7,,,,
knn,random,0.8,0.8,0.8,0.8,0.014,0.014,0.014,0.014,7.338,0.001,0.786,0.736,0.79,0.776,0.864,4.9e-05,original,0.05,7,,,,
xgb,k-means,0.833,0.833,0.833,0.833,0.025,0.025,0.025,0.025,4.446,0.238,0.78,0.762,0.82,0.815,0.873,1.4e-05,original,0.05,7,0,0,0,0.0016078948974609375
rf,k-means,0.825,0.825,0.825,0.825,0.033,0.033,0.033,0.033,16.517,0.912,0.808,0.761,0.812,0.801,0.894,1.4e-05,original,0.05,7,0,0,0,0.0016078948974609375
svc,k-means,0.811,0.811,0.811,0.811,0.027,0.027,0.027,0.027,8.109,0.379,0.807,0.741,0.789,0.774,0.885,7.3e-05,original,0.05,7,0,0,0,0.0016078948974609375
logreg,k-means,0.822,0.822,0.822,0.822,0.03,0.03,0.03,0.03,3.074,0.287,0.818,0.77,0.818,0.808,0.89,2e-05,original,0.05,7,0,0,0,0.0016078948974609375
mlp,k-means,0.803,0.803,0.803,0.803,0.029,0.029,0.029,0.029,16.008,40.286,0.812,0.767,0.817,0.806,0.89,2.1e-05,original,0.05,7,0,0,0,0.0016078948974609375
naive_bayes,k-means,0.686,0.667,0.667,0.686,0.026,0.032,0.032,0.026,5.234,0.002,0.716,0.605,0.644,0.619,0.806,1e-06,original,0.05,7,0,0,0,0.0016078948974609375
knn,k-means,0.792,0.792,0.792,0.792,0.028,0.027,0.027,0.028,8.032,0.001,0.802,0.745,0.796,0.782,0.875,9.4e-05,original,0.05,7,0,0,0,0.0016078948974609375
xgb,k-means,0.837,0.837,0.837,0.837,0.018,0.018,0.018,0.018,9.084,15.144,0.781,0.711,0.762,0.744,0.868,1.4e-05,latent,0.05,7,0,0,0,0.0016078948974609375
rf,k-means,0.832,0.832,0.832,0.832,0.029,0.029,0.029,0.029,36.05,2.393,0.796,0.73,0.779,0.763,0.877,1.1e-05,latent,0.05,7,0,0,0,0.0016078948974609375
svc,k-means,0.82,0.82,0.82,0.82,0.024,0.024,0.024,0.024,7.06,0.28,0.81,0.745,0.793,0.778,0.892,5.5e-05,latent,0.05,7,0,0,0,0.0016078948974609375
logreg,k-means,0.838,0.838,0.838,0.838,0.034,0.034,0.034,0.034,4.262,0.492,0.779,0.719,0.772,0.755,0.86,0.0,latent,0.05,7,0,0,0,0.0016078948974609375
mlp,k-means,0.813,0.813,0.813,0.813,0.027,0.027,0.027,0.027,11.196,0.819,0.81,0.765,0.816,0.806,0.895,1.4e-05,latent,0.05,7,0,0,0,0.0016078948974609375
naive_bayes,k-means,0.727,0.715,0.715,0.727,0.022,0.026,0.026,0.022,4.958,0.002,0.701,0.713,0.797,0.804,0.854,1e-06,latent,0.05,7,0,0,0,0.0016078948974609375
knn,k-means,0.798,0.798,0.798,0.798,0.03,0.03,0.03,0.03,4.207,0.001,0.806,0.735,0.783,0.767,0.89,2.8e-05,latent,0.05,7,0,0,0,0.0016078948974609375
xgb,k-center,0.731,0.731,0.731,0.731,0.04,0.04,0.04,0.04,3.43,0.169,0.8,0.734,0.783,0.767,0.88,5e-06,original,0.05,7,0,0,0,0.0017175674438476562
rf,k-center,0.75,0.75,0.75,0.75,0.025,0.025,0.025,0.025,10.281,0.773,0.806,0.717,0.761,0.742,0.904,2.3e-05,original,0.05,7,0,0,0,0.0017175674438476562
svc,k-center,0.721,0.721,0.721,0.721,0.022,0.022,0.022,0.022,6.397,0.303,0.803,0.721,0.767,0.749,0.889,0.000162,original,0.05,7,0,0,0,0.0017175674438476562
