model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
svc,ag,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.52,0.001,0.781,0.699,0.747,0.727,0.859,3e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
logreg,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.938,0.008,0.776,0.708,0.76,0.741,0.858,7e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
mlp,ag,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,8.059,1.749,0.772,0.688,0.736,0.715,0.854,6e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
naive_bayes,ag,0.5,0.447,0.447,0.5,0.274,0.298,0.298,0.274,6.941,0.001,0.667,0.673,0.767,0.771,0.728,2e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
knn,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.571,0.001,0.771,0.693,0.743,0.723,0.839,2.7e-05,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
xgb,ag,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.2,4.271,0.02,0.657,0.578,0.63,0.602,0.658,5e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
rf,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,14.569,0.149,0.758,0.709,0.767,0.752,0.841,6e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
svc,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.293,0.001,0.778,0.718,0.771,0.755,0.869,3e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
logreg,ag,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.928,0.009,0.772,0.727,0.784,0.771,0.864,1.1e-05,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
mlp,ag,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,7.328,0.689,0.774,0.712,0.765,0.748,0.859,1.2e-05,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
naive_bayes,ag,0.55,0.533,0.533,0.55,0.187,0.197,0.197,0.187,6.647,0.001,0.591,0.601,0.74,0.78,0.707,2e-06,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
knn,ag,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.046,0.001,0.771,0.742,0.801,0.792,0.839,3.6e-05,latent,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016162395477294922,116.0841166973114
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.678,0.046,0.232,0.246,0.331,0.281,0.176,5e-06,original,10,6,2222.7451827526093,0,5.396785181110055e-07,0.0016341209411621094,8.497318506240845
